phaseId;phaseName;chapterId;runs;victories;defeats;victoryRate;averageStars;medianDurationMs;medianIntegrity;averageTroopDeaths;averageDeployments;averageReplacements;medianPeakEntities;assistanceUsedRate;invalidStates;deadlocks;timeouts;classification;recommendedLoadout
fase_33;Costa dos Naufrágios;chapter_05;20;15;5;75;1.93;1088608;100;27.35;51.45;11.25;50;60;0;0;0;EQUILIBRADA;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,fuzileiroVoltaico,operadorJano,bombardeiro
fase_34;Mangue Luminescente;chapter_05;20;5;15;25;2.8;690496;100;36.05;54.2;14.45;41;65;0;0;0;MUITO SEVERA;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,fuzileiroVoltaico,operadorJano
fase_35;Recife Ossificado;chapter_05;20;0;19;0;0;0;0;49.1;74;26.1;44;55;0;0;1;TIMEOUT;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,fuzileiroVoltaico,operadorJano
fase_36;Estação Afogada;chapter_05;20;0;15;0;0;0;0;64.4;111.65;44.3;44;25;0;0;5;TIMEOUT;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,colossoImpacto,colono
fase_37;Fendas Hidrotermais;chapter_05;20;0;16;0;0;0;0;62.1;98.8;46;43.5;20;0;0;4;TIMEOUT;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,colossoImpacto,colono
fase_38;Jardins Predadores;chapter_05;20;0;20;0;0;0;0;65.2;101.75;45.4;63;75;0;0;0;SEM VITÓRIA;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,colossoImpacto,colono
fase_39;Cemitério dos Leviatãs;chapter_05;20;0;20;0;0;0;0;64;96.45;45.5;66.5;15;0;0;0;SEM VITÓRIA;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,colossoImpacto,colono
fase_40;Trono Abissal;chapter_05;20;0;0;0;0;0;0;10.45;33.35;5.75;77;10;0;2;18;ERRO TÉCNICO;bastiaoMare,cacadorLeviatas,marine,lumiUrsa7,droneSentinela,bombardeiro,colossoImpacto,colono
